year,location,avg_temp,mov_avg_temp
1981,global,9.17,8.7475
1982,global,8.64,8.76875
1983,global,9.03,8.805
1984,global,8.69,8.8475
1985,global,8.66,8.82375
1986,global,8.83,8.84125
1987,global,8.99,8.87375
1988,global,9.20,8.90125
1989,global,8.92,8.87
1990,global,9.23,8.94375
1991,global,9.18,8.9625
1992,global,8.84,8.98125
1993,global,8.87,9.0075
1994,global,9.04,9.03375
1995,global,9.35,9.07875
1996,global,9.04,9.05875
1997,global,9.20,9.09375
1998,global,9.52,9.13
1999,global,9.29,9.14375
2000,global,9.20,9.18875
2001,global,9.41,9.25625
2002,global,9.57,9.3225
2003,global,9.53,9.345
2004,global,9.32,9.38
2005,global,9.70,9.4425
2006,global,9.53,9.44375
2007,global,9.73,9.49875
2008,global,9.43,9.5275
2009,global,9.51,9.54
2010,global,9.70,9.55625
2011,global,9.52,9.555
2012,global,9.51,9.57875
2013,global,9.61,9.5675
2014,global,9.57,9.5725
2015,global,9.83,9.585
